
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 14.55.153.119:13666   | 延迟: 1014ms | 机房: LAX
    [+] 有效IP: 222.118.102.62:25000  | 延迟: 978ms | 机房: LAX
    [+] 有效IP: 59.14.58.161:10002    | 延迟: 1011ms | 机房: LAX
    [+] 有效IP: 59.14.58.161:32412    | 延迟: 1544ms | 机房: LAX
    [+] 有效IP: 112.167.75.77:18810   | 延迟: 1004ms | 机房: LAX
    [+] 有效IP: 218.150.231.4:19071   | 延迟: 1059ms | 机房: ICN
    [+] 有效IP: 222.97.71.115:18786   | 延迟: 632ms | 机房: ICN
    [+] 有效IP: 59.14.58.161:13720    | 延迟: 639ms | 机房: ICN
    [+] 有效IP: 211.199.27.72:11211   | 延迟: 618ms | 机房: ICN
    [+] 有效IP: 14.41.85.118:11965    | 延迟: 1025ms | 机房: ICN
    [+] 有效IP: 211.228.69.243:18086  | 延迟: 754ms | 机房: ICN
    [+] 有效IP: 222.105.138.122:12192 | 延迟: 989ms | 机房: LAX
    [+] 有效IP: 222.103.177.64:18020  | 延迟: 1106ms | 机房: ICN
    [+] 有效IP: 220.85.254.226:10162  | 延迟: 618ms | 机房: ICN
    [+] 有效IP: 121.160.125.167:37020 | 延迟: 597ms | 机房: ICN
    [+] 有效IP: 183.100.254.78:10911  | 延迟: 1619ms | 机房: ICN
    [+] 有效IP: 59.18.205.14:11211    | 延迟: 624ms | 机房: ICN
    [+] 有效IP: 222.113.157.240:20880 | 延迟: 674ms | 机房: ICN
    [+] 有效IP: 112.166.95.230:12323  | 延迟: 632ms | 机房: ICN
    [+] 有效IP: 211.199.27.72:18789   | 延迟: 635ms | 机房: ICN
    [+] 有效IP: 125.134.6.129:27017   | 延迟: 627ms | 机房: ICN
    [+] 有效IP: 59.18.205.14:16030    | 延迟: 605ms | 机房: ICN
    [+] 有效IP: 112.163.215.224:29876 | 延迟: 1086ms | 机房: ICN
    [+] 有效IP: 183.98.157.156:13666  | 延迟: 615ms | 机房: ICN
    [+] 有效IP: 183.100.254.78:26214  | 延迟: 640ms | 机房: ICN
    [+] 有效IP: 222.98.109.135:16010  | 延迟: 694ms | 机房: ICN
    [+] 有效IP: 121.179.212.16:10003  | 延迟: 1004ms | 机房: ICN
    [+] 有效IP: 175.206.253.84:19999  | 延迟: 605ms | 机房: ICN
    [+] 有效IP: 222.113.253.35:14147  | 延迟: 631ms | 机房: ICN
    [+] 有效IP: 220.126.235.227:28017 | 延迟: 1097ms | 机房: ICN
    [+] 有效IP: 183.104.118.33:30005  | 延迟: 828ms | 机房: ICN
    [+] 有效IP: 183.99.227.24:26257   | 延迟: 696ms | 机房: ICN
    [+] 有效IP: 183.102.233.117:28080 | 延迟: 655ms | 机房: ICN
    [+] 有效IP: 175.215.109.253:10911 | 延迟: 614ms | 机房: ICN
    [+] 有效IP: 112.186.194.36:12999  | 延迟: 708ms | 机房: ICN
    [+] 有效IP: 218.154.73.52:25105   | 延迟: 1269ms | 机房: ICN
    [+] 有效IP: 59.0.201.106:14265    | 延迟: 817ms | 机房: ICN
    [+] 有效IP: 222.116.186.100:32412 | 延迟: 988ms | 机房: ICN
    [+] 有效IP: 210.99.72.52:29090    | 延迟: 734ms | 机房: ICN
    [+] 有效IP: 183.107.96.188:11211  | 延迟: 688ms | 机房: ICN
    [+] 有效IP: 220.127.168.186:11434 | 延迟: 700ms | 机房: ICN
    [+] 有效IP: 119.203.144.51:14430  | 延迟: 817ms | 机房: ICN
    [+] 有效IP: 118.43.208.141:25448  | 延迟: 990ms | 机房: ICN
    [+] 有效IP: 14.37.60.233:20332    | 延迟: 642ms | 机房: ICN
    [+] 有效IP: 222.119.19.248:32770  | 延迟: 812ms | 机房: ICN
    [+] 有效IP: 14.52.17.66:14534     | 延迟: 886ms | 机房: ICN
    [+] 有效IP: 14.32.3.193:18081     | 延迟: 909ms | 机房: ICN
    [+] 有效IP: 222.104.232.157:10332 | 延迟: 797ms | 机房: ICN
    [+] 有效IP: 59.12.108.79:15000    | 延迟: 1268ms | 机房: ICN
    [+] 有效IP: 112.170.127.240:38241 | 延迟: 1296ms | 机房: ICN
    [+] 有效IP: 59.1.22.175:16992     | 延迟: 818ms | 机房: ICN
    [+] 有效IP: 211.104.215.140:14534 | 延迟: 984ms | 机房: ICN
    [+] 有效IP: 14.45.224.171:25448   | 延迟: 695ms | 机房: ICN
    [+] 有效IP: 175.203.156.166:11434 | 延迟: 713ms | 机房: ICN
    [+] 有效IP: 112.173.209.206:14430 | 延迟: 786ms | 机房: ICN
    [+] 有效IP: 59.23.164.34:19999    | 延迟: 604ms | 机房: ICN
    [+] 有效IP: 59.9.34.83:16993      | 延迟: 696ms | 机房: ICN
    [+] 有效IP: 220.84.174.109:27918  | 延迟: 804ms | 机房: ICN
    [+] 有效IP: 112.184.132.12:12300  | 延迟: 629ms | 机房: ICN
    [+] 有效IP: 121.185.176.21:22105  | 延迟: 622ms | 机房: ICN
    [+] 有效IP: 221.159.89.19:29015   | 延迟: 621ms | 机房: ICN
